date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:54:02	27818/27818	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/eot_cranes.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/eot_cranes.html	(from http://103.53.42.56/)
18:54:02	27575/27575	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/jibcrane.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/jibcrane.html	(from http://103.53.42.56/)
18:54:03	23773/23773	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/goliath-cranes.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/goliath-cranes.html	(from http://103.53.42.56/)
18:54:03	24086/24086	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/electric-wire-rope-hoist.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/electric-wire-rope-hoist.html	(from http://103.53.42.56/)
18:54:03	26382/26382	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/electric-winches.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/electric-winches.html	(from http://103.53.42.56/)
18:54:04	25089/25089	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/electro-magnets.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/electro-magnets.html	(from http://103.53.42.56/)
18:54:04	28000/28000	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:35:58%20GMT	http://103.53.42.56/chain-pulley.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/chain-pulley.html	(from http://103.53.42.56/)
18:54:04	29898/29898	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:35:58%20GMT	http://103.53.42.56/chain-electric-hoist.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/chain-electric-hoist.html	(from http://103.53.42.56/)
18:54:05	24506/24506	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/ratchet-lever-hoist.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/ratchet-lever-hoist.html	(from http://103.53.42.56/)
18:54:05	24241/24241	---M-Z	200	added ('OK')	text/html	date:Fri,%2018%20Jun%202021%2010:36:00%20GMT	http://103.53.42.56/pulling-&-lifting-machines.html	C:/Users/nmang/OneDrive/Documents/mangla.in2/103.53.42.56/pulling-&-lifting-machines.html	(from http://103.53.42.56/)
